"co_code","date","open","high","low","close","mcap","volume"
"5400","2022-03-31","3740","3754.65","3720.2","3739.95","1383426.72","2168110"
"5400","2022-03-30","3738","3738","3706.2","3731.55","1380319.52","1583455"
"5400","2022-04-01","3748","3763","3728.05","3758.75","1390380.93","1387014"
"5400","2022-04-04","3762","3780","3737.1","3770.35","1379590.43","1472994"
"5400","2022-04-06","3809.3","3809.3","3731.15","3755.35","1374101.86","2051729"
"5400","2022-04-05","3772","3835.6","3772","3814.8","1395854.92","2314947"
"5400","2022-04-12","3683","3739","3648.35","3691.1","1350592.45","4483476"
"5400","2022-04-11","3690","3712.35","3656.1","3696.4","1352531.75","2291660"
"5400","2022-04-07","3745.5","3745.5","3679","3684.15","1348049.41","2494829"
"5400","2022-04-08","3690","3705","3642.5","3685.65","1348598.27","2296773"
"5400","2022-04-21","3580","3644","3567.4","3628.65","1327741.68","2280996"
"5400","2022-04-13","3707","3709.85","3655.55","3661.95","1339926.32","1621672"
"5400","2022-04-18","3610","3610","3522.5","3528.05","1290931.62","3820792"
"5400","2022-04-20","3500","3569.15","3480","3556.8","1301451.39","2640370"
"5400","2022-04-19","3550","3563.55","3439.15","3471.9","1270386.05","3170014"
"5400","2022-04-22","3581.1","3617","3571.5","3612.55","1321850.6","1581465"
"5400","2022-04-29","3597","3623.25","3536.85","3546.7","1297755.75","2051115"
"5400","2022-04-25","3558","3584","3533.1","3548.2","1298304.61","1960694"
"5400","2022-04-26","3575.15","3587.9","3518.15","3546.3","1297609.39","1943469"
"5400","2022-04-27","3546","3568.45","3506.3","3561.2","1303061.37","1727648"
"5400","2022-04-28","3588","3604.4","3538.05","3584.3","1311513.78","1703660"
"5400","2022-05-04","3538.5","3545.45","3465.3","3479.75","1273258.4","2305825"
"5400","2022-05-02","3519.9","3547.95","3492.75","3542.4","1296182.36","1324161"
"5400","2022-05-11","3435","3448.45","3382.15","3412","1248468.33","1841769"
"5400","2022-05-06","3459","3474.5","3424.5","3432.6","1256005.97","2010812"
"5400","2022-05-10","3434","3464.8","3422","3438.75","1258256.29","1622685"
"5400","2022-05-05","3512.1","3533","3485.35","3513.4","1285571.11","1612262"
"5400","2022-05-09","3398","3456","3346.85","3445.1","1260579.79","2481830"
"5400","2022-05-25","3292.85","3292.85","3154.05","3167.65","1159059.41","3548046"
"5400","2022-05-13","3435","3439.9","3382.15","3414.9","1249529.45","2187823"
"5400","2022-05-17","3370","3467","3350.4","3451.6","1262958.17","1754076"
"5400","2022-05-23","3304.8","3338.9","3267","3321.75","1215445.39","2293690"
"5400","2022-05-12","3378","3449.7","3350.1","3408.65","1247242.55","2807195"
"5400","2022-05-16","3415","3430","3366.6","3376.8","1235588.47","1195813"
"5400","2022-05-18","3465","3495","3443.05","3448.8","1261933.64","1866781"
"5400","2022-05-19","3397","3405","3230","3261.95","1193564.26","4642963"
"5400","2022-05-20","3310","3313.9","3270.05","3293","1204925.62","3065125"
"5400","2022-05-24","3315.15","3324.85","3275.6","3288","1203096.09","1711510"
"5400","2022-05-30","3297","3386.6","3286.35","3375.25","1235021.31","2094624"
"5400","2022-05-27","3253.2","3278.9","3229.2","3261.3","1193326.42","3103153"
"5400","2022-05-26","3191","3241.5","3180.55","3226.95","1180757.58","2813186"
"5400","2022-06-06","3418","3453","3377.15","3430.95","1255402.23","1084210"
"5400","2022-05-31","3354.15","3383.4","3325","3364.35","1231032.95","4840965"
"5400","2022-06-01","3388","3388","3340.05","3355.2","1227684.92","1493835"
"5400","2022-06-02","3355","3432","3346.3","3423","1252493.28","2657939"
"5400","2022-06-03","3459.4","3477.3","3431.2","3440.15","1258768.56","1913622"
"5400","2022-06-07","3401.05","3418.85","3356","3362.7","1230429.21","2308256"
"5400","2022-06-16","3240","3244.85","3133.05","3142","1149673.94","2032028"
"5400","2022-06-08","3380.15","3413.95","3346.5","3404.15","1245595.97","2185707"
"5400","2022-06-10","3382","3393","3352","3359.9","1229404.67","1527582"
"5400","2022-06-14","3190","3238.9","3174.7","3210.55","1174756.74","2611493"
"5400","2022-06-09","3385","3437","3353.1","3427.1","1253993.5","1279197"
"5400","2022-06-13","3290","3293","3192.45","3219.6","1178068.18","3030921"
"5400","2022-06-15","3218.5","3234","3201","3206.3","1173201.64","1404536"
"5400","2022-06-24","3339","3345","3277.5","3293.1","1204962.21","2132118"
"5400","2022-06-17","3092","3118.75","3023.85","3088.9","1130244.38","5240434"
"5400","2022-06-21","3130","3237.75","3125.4","3211.95","1175269.01","2964461"
"5400","2022-06-22","3199.9","3250.55","3183","3222.95","1179293.96","3336315"
"5400","2022-06-23","3222.95","3318","3222.95","3308.8","1210706.92","3692578"
"5400","2022-06-20","3094","3138.75","3069","3112.4","1138843.15","1502769"
"5400","2022-06-30","3272","3310.9","3255","3267.1","1195448.67","2719603"
"5400","2022-06-27","3350","3362.9","3306.5","3314.7","1212865.76","2037686"
"5400","2022-06-28","3307","3330","3272.6","3318.15","1214128.13","1400046"
"5400","2022-06-29","3271","3333","3271","3290.5","1204010.85","2133994"
"5400","2022-07-11","3206.15","3225","3106","3113.8","1139355.42","6974600"
"5400","2022-07-04","3312","3317.95","3225.05","3235.05","1183721.41","2622535"
"5400","2022-07-05","3255","3272","3206.95","3216.3","1176860.69","2170627"
"5400","2022-07-08","3300","3305","3250","3265.45","1194844.93","2136916"
"5400","2022-07-01","3260","3333","3252.05","3315.1","1213012.12","1502879"
